run,type,module,name,attrname,attrvalue,value
BLE-0-20260506-22:54:38-25959,runattr,,,configname,BLE,
BLE-0-20260506-22:54:38-25959,runattr,,,datetime,20260506-22:54:38,
BLE-0-20260506-22:54:38-25959,runattr,,,datetimef,20260506-225438,
BLE-0-20260506-22:54:38-25959,runattr,,,experiment,BLE,
BLE-0-20260506-22:54:38-25959,runattr,,,inifile,omnetpp.ini,
BLE-0-20260506-22:54:38-25959,runattr,,,iterationvars,,
BLE-0-20260506-22:54:38-25959,runattr,,,iterationvarsd,,
BLE-0-20260506-22:54:38-25959,runattr,,,iterationvarsf,,
BLE-0-20260506-22:54:38-25959,runattr,,,measurement,,
BLE-0-20260506-22:54:38-25959,runattr,,,network,KriptoAgi,
BLE-0-20260506-22:54:38-25959,runattr,,,processid,25959,
BLE-0-20260506-22:54:38-25959,runattr,,,repetition,0,
BLE-0-20260506-22:54:38-25959,runattr,,,replication,#0,
BLE-0-20260506-22:54:38-25959,runattr,,,resultdir,results,
BLE-0-20260506-22:54:38-25959,runattr,,,runnumber,0,
BLE-0-20260506-22:54:38-25959,runattr,,,seedset,0,
BLE-0-20260506-22:54:38-25959,config,,,image-path,../../../../../home/oguzyl1907/omnetpp-6.0.3/samples/inet4.5/images,
BLE-0-20260506-22:54:38-25959,config,,,description,WPAN - BLE profil,
BLE-0-20260506-22:54:38-25959,config,,,*.sensor.app[0].messageLength,112B,
BLE-0-20260506-22:54:38-25959,config,,,*.sensor.udp.procDelay,0.120ms,
BLE-0-20260506-22:54:38-25959,config,,,network,KriptoAgi,
BLE-0-20260506-22:54:38-25959,config,,,sim-time-limit,100s,
BLE-0-20260506-22:54:38-25959,config,,,*.sensor.numApps,1,
BLE-0-20260506-22:54:38-25959,config,,,*.sensor.app[0].typename,UdpBasicApp,
BLE-0-20260506-22:54:38-25959,config,,,*.sensor.app[0].destAddresses,"""gateway""",
BLE-0-20260506-22:54:38-25959,config,,,*.sensor.app[0].destPort,5000,
BLE-0-20260506-22:54:38-25959,config,,,*.sensor.app[0].sendInterval,1s,
BLE-0-20260506-22:54:38-25959,config,,,*.gateway.numApps,1,
BLE-0-20260506-22:54:38-25959,config,,,*.gateway.app[0].typename,UdpSink,
BLE-0-20260506-22:54:38-25959,config,,,*.gateway.app[0].localPort,5000,
BLE-0-20260506-22:54:38-25959,config,,,*.configurator.typename,Ipv4NetworkConfigurator,
BLE-0-20260506-22:54:38-25959,config,,,**.wlan[*].mgmt.typename,Ieee80211MgmtAdhoc,
BLE-0-20260506-22:54:38-25959,config,,,**.wlan[*].agent.typename,,
CLEFIA-0-20260506-22:54:05-25941,runattr,,,configname,CLEFIA,
CLEFIA-0-20260506-22:54:05-25941,runattr,,,datetime,20260506-22:54:05,
CLEFIA-0-20260506-22:54:05-25941,runattr,,,datetimef,20260506-225405,
CLEFIA-0-20260506-22:54:05-25941,runattr,,,experiment,CLEFIA,
CLEFIA-0-20260506-22:54:05-25941,runattr,,,inifile,omnetpp.ini,
CLEFIA-0-20260506-22:54:05-25941,runattr,,,iterationvars,,
CLEFIA-0-20260506-22:54:05-25941,runattr,,,iterationvarsd,,
CLEFIA-0-20260506-22:54:05-25941,runattr,,,iterationvarsf,,
CLEFIA-0-20260506-22:54:05-25941,runattr,,,measurement,,
CLEFIA-0-20260506-22:54:05-25941,runattr,,,network,KriptoAgi,
CLEFIA-0-20260506-22:54:05-25941,runattr,,,processid,25941,
CLEFIA-0-20260506-22:54:05-25941,runattr,,,repetition,0,
CLEFIA-0-20260506-22:54:05-25941,runattr,,,replication,#0,
CLEFIA-0-20260506-22:54:05-25941,runattr,,,resultdir,results,
CLEFIA-0-20260506-22:54:05-25941,runattr,,,runnumber,0,
CLEFIA-0-20260506-22:54:05-25941,runattr,,,seedset,0,
CLEFIA-0-20260506-22:54:05-25941,config,,,image-path,../../../../../home/oguzyl1907/omnetpp-6.0.3/samples/inet4.5/images,
CLEFIA-0-20260506-22:54:05-25941,config,,,description,WPAN - CLEFIA,
CLEFIA-0-20260506-22:54:05-25941,config,,,*.sensor.app[0].messageLength,116B,
CLEFIA-0-20260506-22:54:05-25941,config,,,*.sensor.udp.procDelay,0.130ms,
CLEFIA-0-20260506-22:54:05-25941,config,,,network,KriptoAgi,
CLEFIA-0-20260506-22:54:05-25941,config,,,sim-time-limit,100s,
CLEFIA-0-20260506-22:54:05-25941,config,,,*.sensor.numApps,1,
CLEFIA-0-20260506-22:54:05-25941,config,,,*.sensor.app[0].typename,UdpBasicApp,
CLEFIA-0-20260506-22:54:05-25941,config,,,*.sensor.app[0].destAddresses,"""gateway""",
CLEFIA-0-20260506-22:54:05-25941,config,,,*.sensor.app[0].destPort,5000,
CLEFIA-0-20260506-22:54:05-25941,config,,,*.sensor.app[0].sendInterval,1s,
CLEFIA-0-20260506-22:54:05-25941,config,,,*.gateway.numApps,1,
CLEFIA-0-20260506-22:54:05-25941,config,,,*.gateway.app[0].typename,UdpSink,
CLEFIA-0-20260506-22:54:05-25941,config,,,*.gateway.app[0].localPort,5000,
CLEFIA-0-20260506-22:54:05-25941,config,,,*.configurator.typename,Ipv4NetworkConfigurator,
CLEFIA-0-20260506-22:54:05-25941,config,,,**.wlan[*].mgmt.typename,Ieee80211MgmtAdhoc,
CLEFIA-0-20260506-22:54:05-25941,config,,,**.wlan[*].agent.typename,,
ChaCha20-0-20260506-22:55:54-25998,runattr,,,configname,ChaCha20,
ChaCha20-0-20260506-22:55:54-25998,runattr,,,datetime,20260506-22:55:54,
ChaCha20-0-20260506-22:55:54-25998,runattr,,,datetimef,20260506-225554,
ChaCha20-0-20260506-22:55:54-25998,runattr,,,experiment,ChaCha20,
ChaCha20-0-20260506-22:55:54-25998,runattr,,,inifile,omnetpp.ini,
ChaCha20-0-20260506-22:55:54-25998,runattr,,,iterationvars,,
ChaCha20-0-20260506-22:55:54-25998,runattr,,,iterationvarsd,,
ChaCha20-0-20260506-22:55:54-25998,runattr,,,iterationvarsf,,
ChaCha20-0-20260506-22:55:54-25998,runattr,,,measurement,,
ChaCha20-0-20260506-22:55:54-25998,runattr,,,network,KriptoAgi,
ChaCha20-0-20260506-22:55:54-25998,runattr,,,processid,25998,
ChaCha20-0-20260506-22:55:54-25998,runattr,,,repetition,0,
ChaCha20-0-20260506-22:55:54-25998,runattr,,,replication,#0,
ChaCha20-0-20260506-22:55:54-25998,runattr,,,resultdir,results,
ChaCha20-0-20260506-22:55:54-25998,runattr,,,runnumber,0,
ChaCha20-0-20260506-22:55:54-25998,runattr,,,seedset,0,
ChaCha20-0-20260506-22:55:54-25998,config,,,image-path,../../../../../home/oguzyl1907/omnetpp-6.0.3/samples/inet4.5/images,
ChaCha20-0-20260506-22:55:54-25998,config,,,description,6LoWPAN - ChaCha20,
ChaCha20-0-20260506-22:55:54-25998,config,,,*.sensor.app[0].messageLength,100B,
ChaCha20-0-20260506-22:55:54-25998,config,,,*.sensor.udp.procDelay,0.060ms,
ChaCha20-0-20260506-22:55:54-25998,config,,,network,KriptoAgi,
ChaCha20-0-20260506-22:55:54-25998,config,,,sim-time-limit,100s,
ChaCha20-0-20260506-22:55:54-25998,config,,,*.sensor.numApps,1,
ChaCha20-0-20260506-22:55:54-25998,config,,,*.sensor.app[0].typename,UdpBasicApp,
ChaCha20-0-20260506-22:55:54-25998,config,,,*.sensor.app[0].destAddresses,"""gateway""",
ChaCha20-0-20260506-22:55:54-25998,config,,,*.sensor.app[0].destPort,5000,
ChaCha20-0-20260506-22:55:54-25998,config,,,*.sensor.app[0].sendInterval,1s,
ChaCha20-0-20260506-22:55:54-25998,config,,,*.gateway.numApps,1,
ChaCha20-0-20260506-22:55:54-25998,config,,,*.gateway.app[0].typename,UdpSink,
ChaCha20-0-20260506-22:55:54-25998,config,,,*.gateway.app[0].localPort,5000,
ChaCha20-0-20260506-22:55:54-25998,config,,,*.configurator.typename,Ipv4NetworkConfigurator,
ChaCha20-0-20260506-22:55:54-25998,config,,,**.wlan[*].mgmt.typename,Ieee80211MgmtAdhoc,
ChaCha20-0-20260506-22:55:54-25998,config,,,**.wlan[*].agent.typename,,
ECC-0-20260506-22:58:56-26129,runattr,,,configname,ECC,
ECC-0-20260506-22:58:56-26129,runattr,,,datetime,20260506-22:58:56,
ECC-0-20260506-22:58:56-26129,runattr,,,datetimef,20260506-225856,
ECC-0-20260506-22:58:56-26129,runattr,,,experiment,ECC,
ECC-0-20260506-22:58:56-26129,runattr,,,inifile,omnetpp.ini,
ECC-0-20260506-22:58:56-26129,runattr,,,iterationvars,,
ECC-0-20260506-22:58:56-26129,runattr,,,iterationvarsd,,
ECC-0-20260506-22:58:56-26129,runattr,,,iterationvarsf,,
ECC-0-20260506-22:58:56-26129,runattr,,,measurement,,
ECC-0-20260506-22:58:56-26129,runattr,,,network,KriptoAgi,
ECC-0-20260506-22:58:56-26129,runattr,,,processid,26129,
ECC-0-20260506-22:58:56-26129,runattr,,,repetition,0,
ECC-0-20260506-22:58:56-26129,runattr,,,replication,#0,
ECC-0-20260506-22:58:56-26129,runattr,,,resultdir,results,
ECC-0-20260506-22:58:56-26129,runattr,,,runnumber,0,
ECC-0-20260506-22:58:56-26129,runattr,,,seedset,0,
ECC-0-20260506-22:58:56-26129,config,,,image-path,../../../../../home/oguzyl1907/omnetpp-6.0.3/samples/inet4.5/images,
ECC-0-20260506-22:58:56-26129,config,,,description,Yuksek Performans - ECC,
ECC-0-20260506-22:58:56-26129,config,,,*.sensor.app[0].messageLength,172B,
ECC-0-20260506-22:58:56-26129,config,,,*.sensor.udp.procDelay,2.000ms,
ECC-0-20260506-22:58:56-26129,config,,,network,KriptoAgi,
ECC-0-20260506-22:58:56-26129,config,,,sim-time-limit,100s,
ECC-0-20260506-22:58:56-26129,config,,,*.sensor.numApps,1,
ECC-0-20260506-22:58:56-26129,config,,,*.sensor.app[0].typename,UdpBasicApp,
ECC-0-20260506-22:58:56-26129,config,,,*.sensor.app[0].destAddresses,"""gateway""",
ECC-0-20260506-22:58:56-26129,config,,,*.sensor.app[0].destPort,5000,
ECC-0-20260506-22:58:56-26129,config,,,*.sensor.app[0].sendInterval,1s,
ECC-0-20260506-22:58:56-26129,config,,,*.gateway.numApps,1,
ECC-0-20260506-22:58:56-26129,config,,,*.gateway.app[0].typename,UdpSink,
ECC-0-20260506-22:58:56-26129,config,,,*.gateway.app[0].localPort,5000,
ECC-0-20260506-22:58:56-26129,config,,,*.configurator.typename,Ipv4NetworkConfigurator,
ECC-0-20260506-22:58:56-26129,config,,,**.wlan[*].mgmt.typename,Ieee80211MgmtAdhoc,
ECC-0-20260506-22:58:56-26129,config,,,**.wlan[*].agent.typename,,
ECC_6LOWPAN-0-20260506-22:55:25-25987,runattr,,,configname,ECC_6LOWPAN,
ECC_6LOWPAN-0-20260506-22:55:25-25987,runattr,,,datetime,20260506-22:55:25,
ECC_6LOWPAN-0-20260506-22:55:25-25987,runattr,,,datetimef,20260506-225525,
ECC_6LOWPAN-0-20260506-22:55:25-25987,runattr,,,experiment,ECC_6LOWPAN,
ECC_6LOWPAN-0-20260506-22:55:25-25987,runattr,,,inifile,omnetpp.ini,
ECC_6LOWPAN-0-20260506-22:55:25-25987,runattr,,,iterationvars,,
ECC_6LOWPAN-0-20260506-22:55:25-25987,runattr,,,iterationvarsd,,
ECC_6LOWPAN-0-20260506-22:55:25-25987,runattr,,,iterationvarsf,,
ECC_6LOWPAN-0-20260506-22:55:25-25987,runattr,,,measurement,,
ECC_6LOWPAN-0-20260506-22:55:25-25987,runattr,,,network,KriptoAgi,
ECC_6LOWPAN-0-20260506-22:55:25-25987,runattr,,,processid,25987,
ECC_6LOWPAN-0-20260506-22:55:25-25987,runattr,,,repetition,0,
ECC_6LOWPAN-0-20260506-22:55:25-25987,runattr,,,replication,#0,
ECC_6LOWPAN-0-20260506-22:55:25-25987,runattr,,,resultdir,results,
ECC_6LOWPAN-0-20260506-22:55:25-25987,runattr,,,runnumber,0,
ECC_6LOWPAN-0-20260506-22:55:25-25987,runattr,,,seedset,0,
ECC_6LOWPAN-0-20260506-22:55:25-25987,config,,,image-path,../../../../../home/oguzyl1907/omnetpp-6.0.3/samples/inet4.5/images,
ECC_6LOWPAN-0-20260506-22:55:25-25987,config,,,description,6LoWPAN - ECC,
ECC_6LOWPAN-0-20260506-22:55:25-25987,config,,,*.sensor.app[0].messageLength,172B,
ECC_6LOWPAN-0-20260506-22:55:25-25987,config,,,*.sensor.udp.procDelay,2.000ms,
ECC_6LOWPAN-0-20260506-22:55:25-25987,config,,,network,KriptoAgi,
ECC_6LOWPAN-0-20260506-22:55:25-25987,config,,,sim-time-limit,100s,
ECC_6LOWPAN-0-20260506-22:55:25-25987,config,,,*.sensor.numApps,1,
ECC_6LOWPAN-0-20260506-22:55:25-25987,config,,,*.sensor.app[0].typename,UdpBasicApp,
ECC_6LOWPAN-0-20260506-22:55:25-25987,config,,,*.sensor.app[0].destAddresses,"""gateway""",
ECC_6LOWPAN-0-20260506-22:55:25-25987,config,,,*.sensor.app[0].destPort,5000,
ECC_6LOWPAN-0-20260506-22:55:25-25987,config,,,*.sensor.app[0].sendInterval,1s,
ECC_6LOWPAN-0-20260506-22:55:25-25987,config,,,*.gateway.numApps,1,
ECC_6LOWPAN-0-20260506-22:55:25-25987,config,,,*.gateway.app[0].typename,UdpSink,
ECC_6LOWPAN-0-20260506-22:55:25-25987,config,,,*.gateway.app[0].localPort,5000,
ECC_6LOWPAN-0-20260506-22:55:25-25987,config,,,*.configurator.typename,Ipv4NetworkConfigurator,
ECC_6LOWPAN-0-20260506-22:55:25-25987,config,,,**.wlan[*].mgmt.typename,Ieee80211MgmtAdhoc,
ECC_6LOWPAN-0-20260506-22:55:25-25987,config,,,**.wlan[*].agent.typename,,
GIFT-0-20260506-22:56:45-26029,runattr,,,configname,GIFT,
GIFT-0-20260506-22:56:45-26029,runattr,,,datetime,20260506-22:56:45,
GIFT-0-20260506-22:56:45-26029,runattr,,,datetimef,20260506-225645,
GIFT-0-20260506-22:56:45-26029,runattr,,,experiment,GIFT,
GIFT-0-20260506-22:56:45-26029,runattr,,,inifile,omnetpp.ini,
GIFT-0-20260506-22:56:45-26029,runattr,,,iterationvars,,
GIFT-0-20260506-22:56:45-26029,runattr,,,iterationvarsd,,
GIFT-0-20260506-22:56:45-26029,runattr,,,iterationvarsf,,
GIFT-0-20260506-22:56:45-26029,runattr,,,measurement,,
GIFT-0-20260506-22:56:45-26029,runattr,,,network,KriptoAgi,
GIFT-0-20260506-22:56:45-26029,runattr,,,processid,26029,
GIFT-0-20260506-22:56:45-26029,runattr,,,repetition,0,
GIFT-0-20260506-22:56:45-26029,runattr,,,replication,#0,
GIFT-0-20260506-22:56:45-26029,runattr,,,resultdir,results,
GIFT-0-20260506-22:56:45-26029,runattr,,,runnumber,0,
GIFT-0-20260506-22:56:45-26029,runattr,,,seedset,0,
GIFT-0-20260506-22:56:45-26029,config,,,image-path,../../../../../home/oguzyl1907/omnetpp-6.0.3/samples/inet4.5/images,
GIFT-0-20260506-22:56:45-26029,config,,,description,LPWAN - GIFT,
GIFT-0-20260506-22:56:45-26029,config,,,*.sensor.app[0].messageLength,108B,
GIFT-0-20260506-22:56:45-26029,config,,,*.sensor.udp.procDelay,0.070ms,
GIFT-0-20260506-22:56:45-26029,config,,,*.sensor.app[0].sendInterval,2s,
GIFT-0-20260506-22:56:45-26029,config,,,network,KriptoAgi,
GIFT-0-20260506-22:56:45-26029,config,,,sim-time-limit,100s,
GIFT-0-20260506-22:56:45-26029,config,,,*.sensor.numApps,1,
GIFT-0-20260506-22:56:45-26029,config,,,*.sensor.app[0].typename,UdpBasicApp,
GIFT-0-20260506-22:56:45-26029,config,,,*.sensor.app[0].destAddresses,"""gateway""",
GIFT-0-20260506-22:56:45-26029,config,,,*.sensor.app[0].destPort,5000,
GIFT-0-20260506-22:56:45-26029,config,,,*.sensor.app[0].sendInterval,1s,
GIFT-0-20260506-22:56:45-26029,config,,,*.gateway.numApps,1,
GIFT-0-20260506-22:56:45-26029,config,,,*.gateway.app[0].typename,UdpSink,
GIFT-0-20260506-22:56:45-26029,config,,,*.gateway.app[0].localPort,5000,
GIFT-0-20260506-22:56:45-26029,config,,,*.configurator.typename,Ipv4NetworkConfigurator,
GIFT-0-20260506-22:56:45-26029,config,,,**.wlan[*].mgmt.typename,Ieee80211MgmtAdhoc,
GIFT-0-20260506-22:56:45-26029,config,,,**.wlan[*].agent.typename,,
ML-KEM-0-20260506-22:57:16-26089,runattr,,,configname,ML-KEM,
ML-KEM-0-20260506-22:57:16-26089,runattr,,,datetime,20260506-22:57:16,
ML-KEM-0-20260506-22:57:16-26089,runattr,,,datetimef,20260506-225716,
ML-KEM-0-20260506-22:57:16-26089,runattr,,,experiment,ML-KEM,
ML-KEM-0-20260506-22:57:16-26089,runattr,,,inifile,omnetpp.ini,
ML-KEM-0-20260506-22:57:16-26089,runattr,,,iterationvars,,
ML-KEM-0-20260506-22:57:16-26089,runattr,,,iterationvarsd,,
ML-KEM-0-20260506-22:57:16-26089,runattr,,,iterationvarsf,,
ML-KEM-0-20260506-22:57:16-26089,runattr,,,measurement,,
ML-KEM-0-20260506-22:57:16-26089,runattr,,,network,KriptoAgi,
ML-KEM-0-20260506-22:57:16-26089,runattr,,,processid,26089,
ML-KEM-0-20260506-22:57:16-26089,runattr,,,repetition,0,
ML-KEM-0-20260506-22:57:16-26089,runattr,,,replication,#0,
ML-KEM-0-20260506-22:57:16-26089,runattr,,,resultdir,results,
ML-KEM-0-20260506-22:57:16-26089,runattr,,,runnumber,0,
ML-KEM-0-20260506-22:57:16-26089,runattr,,,seedset,0,
ML-KEM-0-20260506-22:57:16-26089,config,,,image-path,../../../../../home/oguzyl1907/omnetpp-6.0.3/samples/inet4.5/images,
ML-KEM-0-20260506-22:57:16-26089,config,,,description,Yuksek Performans - ML-KEM,
ML-KEM-0-20260506-22:57:16-26089,config,,,*.sensor.app[0].messageLength,1188B,
ML-KEM-0-20260506-22:57:16-26089,config,,,*.sensor.udp.procDelay,0.500ms,
ML-KEM-0-20260506-22:57:16-26089,config,,,network,KriptoAgi,
ML-KEM-0-20260506-22:57:16-26089,config,,,sim-time-limit,100s,
ML-KEM-0-20260506-22:57:16-26089,config,,,*.sensor.numApps,1,
ML-KEM-0-20260506-22:57:16-26089,config,,,*.sensor.app[0].typename,UdpBasicApp,
ML-KEM-0-20260506-22:57:16-26089,config,,,*.sensor.app[0].destAddresses,"""gateway""",
ML-KEM-0-20260506-22:57:16-26089,config,,,*.sensor.app[0].destPort,5000,
ML-KEM-0-20260506-22:57:16-26089,config,,,*.sensor.app[0].sendInterval,1s,
ML-KEM-0-20260506-22:57:16-26089,config,,,*.gateway.numApps,1,
ML-KEM-0-20260506-22:57:16-26089,config,,,*.gateway.app[0].typename,UdpSink,
ML-KEM-0-20260506-22:57:16-26089,config,,,*.gateway.app[0].localPort,5000,
ML-KEM-0-20260506-22:57:16-26089,config,,,*.configurator.typename,Ipv4NetworkConfigurator,
ML-KEM-0-20260506-22:57:16-26089,config,,,**.wlan[*].mgmt.typename,Ieee80211MgmtAdhoc,
ML-KEM-0-20260506-22:57:16-26089,config,,,**.wlan[*].agent.typename,,
ML-DSA-0-20260506-22:57:32-26100,runattr,,,configname,ML-DSA,
ML-DSA-0-20260506-22:57:32-26100,runattr,,,datetime,20260506-22:57:32,
ML-DSA-0-20260506-22:57:32-26100,runattr,,,datetimef,20260506-225732,
ML-DSA-0-20260506-22:57:32-26100,runattr,,,experiment,ML-DSA,
ML-DSA-0-20260506-22:57:32-26100,runattr,,,inifile,omnetpp.ini,
ML-DSA-0-20260506-22:57:32-26100,runattr,,,iterationvars,,
ML-DSA-0-20260506-22:57:32-26100,runattr,,,iterationvarsd,,
ML-DSA-0-20260506-22:57:32-26100,runattr,,,iterationvarsf,,
ML-DSA-0-20260506-22:57:32-26100,runattr,,,measurement,,
ML-DSA-0-20260506-22:57:32-26100,runattr,,,network,KriptoAgi,
ML-DSA-0-20260506-22:57:32-26100,runattr,,,processid,26100,
ML-DSA-0-20260506-22:57:32-26100,runattr,,,repetition,0,
ML-DSA-0-20260506-22:57:32-26100,runattr,,,replication,#0,
ML-DSA-0-20260506-22:57:32-26100,runattr,,,resultdir,results,
ML-DSA-0-20260506-22:57:32-26100,runattr,,,runnumber,0,
ML-DSA-0-20260506-22:57:32-26100,runattr,,,seedset,0,
ML-DSA-0-20260506-22:57:32-26100,config,,,image-path,../../../../../home/oguzyl1907/omnetpp-6.0.3/samples/inet4.5/images,
ML-DSA-0-20260506-22:57:32-26100,config,,,description,Yuksek Performans - ML-DSA,
ML-DSA-0-20260506-22:57:32-26100,config,,,*.sensor.app[0].messageLength,2420B,
ML-DSA-0-20260506-22:57:32-26100,config,,,*.sensor.udp.procDelay,0.850ms,
ML-DSA-0-20260506-22:57:32-26100,config,,,network,KriptoAgi,
ML-DSA-0-20260506-22:57:32-26100,config,,,sim-time-limit,100s,
ML-DSA-0-20260506-22:57:32-26100,config,,,*.sensor.numApps,1,
ML-DSA-0-20260506-22:57:32-26100,config,,,*.sensor.app[0].typename,UdpBasicApp,
ML-DSA-0-20260506-22:57:32-26100,config,,,*.sensor.app[0].destAddresses,"""gateway""",
ML-DSA-0-20260506-22:57:32-26100,config,,,*.sensor.app[0].destPort,5000,
ML-DSA-0-20260506-22:57:32-26100,config,,,*.sensor.app[0].sendInterval,1s,
ML-DSA-0-20260506-22:57:32-26100,config,,,*.gateway.numApps,1,
ML-DSA-0-20260506-22:57:32-26100,config,,,*.gateway.app[0].typename,UdpSink,
ML-DSA-0-20260506-22:57:32-26100,config,,,*.gateway.app[0].localPort,5000,
ML-DSA-0-20260506-22:57:32-26100,config,,,*.configurator.typename,Ipv4NetworkConfigurator,
ML-DSA-0-20260506-22:57:32-26100,config,,,**.wlan[*].mgmt.typename,Ieee80211MgmtAdhoc,
ML-DSA-0-20260506-22:57:32-26100,config,,,**.wlan[*].agent.typename,,
PRESENT-0-20260506-22:51:59-25916,runattr,,,configname,PRESENT,
PRESENT-0-20260506-22:51:59-25916,runattr,,,datetime,20260506-22:51:59,
PRESENT-0-20260506-22:51:59-25916,runattr,,,datetimef,20260506-225159,
PRESENT-0-20260506-22:51:59-25916,runattr,,,experiment,PRESENT,
PRESENT-0-20260506-22:51:59-25916,runattr,,,inifile,omnetpp.ini,
PRESENT-0-20260506-22:51:59-25916,runattr,,,iterationvars,,
PRESENT-0-20260506-22:51:59-25916,runattr,,,iterationvarsd,,
PRESENT-0-20260506-22:51:59-25916,runattr,,,iterationvarsf,,
PRESENT-0-20260506-22:51:59-25916,runattr,,,measurement,,
PRESENT-0-20260506-22:51:59-25916,runattr,,,network,KriptoAgi,
PRESENT-0-20260506-22:51:59-25916,runattr,,,processid,25916,
PRESENT-0-20260506-22:51:59-25916,runattr,,,repetition,0,
PRESENT-0-20260506-22:51:59-25916,runattr,,,replication,#0,
PRESENT-0-20260506-22:51:59-25916,runattr,,,resultdir,results,
PRESENT-0-20260506-22:51:59-25916,runattr,,,runnumber,0,
PRESENT-0-20260506-22:51:59-25916,runattr,,,seedset,0,
PRESENT-0-20260506-22:51:59-25916,config,,,image-path,../../../../../home/oguzyl1907/omnetpp-6.0.3/samples/inet4.5/images,
PRESENT-0-20260506-22:51:59-25916,config,,,description,WPAN - PRESENT,
PRESENT-0-20260506-22:51:59-25916,config,,,*.sensor.app[0].messageLength,108B,
PRESENT-0-20260506-22:51:59-25916,config,,,*.sensor.udp.procDelay,0.090ms,
PRESENT-0-20260506-22:51:59-25916,config,,,network,KriptoAgi,
PRESENT-0-20260506-22:51:59-25916,config,,,sim-time-limit,100s,
PRESENT-0-20260506-22:51:59-25916,config,,,*.sensor.numApps,1,
PRESENT-0-20260506-22:51:59-25916,config,,,*.sensor.app[0].typename,UdpBasicApp,
PRESENT-0-20260506-22:51:59-25916,config,,,*.sensor.app[0].destAddresses,"""gateway""",
PRESENT-0-20260506-22:51:59-25916,config,,,*.sensor.app[0].destPort,5000,
PRESENT-0-20260506-22:51:59-25916,config,,,*.sensor.app[0].sendInterval,1s,
PRESENT-0-20260506-22:51:59-25916,config,,,*.gateway.numApps,1,
PRESENT-0-20260506-22:51:59-25916,config,,,*.gateway.app[0].typename,UdpSink,
PRESENT-0-20260506-22:51:59-25916,config,,,*.gateway.app[0].localPort,5000,
PRESENT-0-20260506-22:51:59-25916,config,,,*.configurator.typename,Ipv4NetworkConfigurator,
PRESENT-0-20260506-22:51:59-25916,config,,,**.wlan[*].mgmt.typename,Ieee80211MgmtAdhoc,
PRESENT-0-20260506-22:51:59-25916,config,,,**.wlan[*].agent.typename,,
SHA-256-0-20260506-22:59:09-26146,runattr,,,configname,SHA-256,
SHA-256-0-20260506-22:59:09-26146,runattr,,,datetime,20260506-22:59:09,
SHA-256-0-20260506-22:59:09-26146,runattr,,,datetimef,20260506-225909,
SHA-256-0-20260506-22:59:09-26146,runattr,,,experiment,SHA-256,
SHA-256-0-20260506-22:59:09-26146,runattr,,,inifile,omnetpp.ini,
SHA-256-0-20260506-22:59:09-26146,runattr,,,iterationvars,,
SHA-256-0-20260506-22:59:09-26146,runattr,,,iterationvarsd,,
SHA-256-0-20260506-22:59:09-26146,runattr,,,iterationvarsf,,
SHA-256-0-20260506-22:59:09-26146,runattr,,,measurement,,
SHA-256-0-20260506-22:59:09-26146,runattr,,,network,KriptoAgi,
SHA-256-0-20260506-22:59:09-26146,runattr,,,processid,26146,
SHA-256-0-20260506-22:59:09-26146,runattr,,,repetition,0,
SHA-256-0-20260506-22:59:09-26146,runattr,,,replication,#0,
SHA-256-0-20260506-22:59:09-26146,runattr,,,resultdir,results,
SHA-256-0-20260506-22:59:09-26146,runattr,,,runnumber,0,
SHA-256-0-20260506-22:59:09-26146,runattr,,,seedset,0,
SHA-256-0-20260506-22:59:09-26146,config,,,image-path,../../../../../home/oguzyl1907/omnetpp-6.0.3/samples/inet4.5/images,
SHA-256-0-20260506-22:59:09-26146,config,,,description,Yuksek Performans - SHA-256,
SHA-256-0-20260506-22:59:09-26146,config,,,*.sensor.app[0].messageLength,132B,
SHA-256-0-20260506-22:59:09-26146,config,,,*.sensor.udp.procDelay,0.020ms,
SHA-256-0-20260506-22:59:09-26146,config,,,network,KriptoAgi,
SHA-256-0-20260506-22:59:09-26146,config,,,sim-time-limit,100s,
SHA-256-0-20260506-22:59:09-26146,config,,,*.sensor.numApps,1,
SHA-256-0-20260506-22:59:09-26146,config,,,*.sensor.app[0].typename,UdpBasicApp,
SHA-256-0-20260506-22:59:09-26146,config,,,*.sensor.app[0].destAddresses,"""gateway""",
SHA-256-0-20260506-22:59:09-26146,config,,,*.sensor.app[0].destPort,5000,
SHA-256-0-20260506-22:59:09-26146,config,,,*.sensor.app[0].sendInterval,1s,
SHA-256-0-20260506-22:59:09-26146,config,,,*.gateway.numApps,1,
SHA-256-0-20260506-22:59:09-26146,config,,,*.gateway.app[0].typename,UdpSink,
SHA-256-0-20260506-22:59:09-26146,config,,,*.gateway.app[0].localPort,5000,
SHA-256-0-20260506-22:59:09-26146,config,,,*.configurator.typename,Ipv4NetworkConfigurator,
SHA-256-0-20260506-22:59:09-26146,config,,,**.wlan[*].mgmt.typename,Ieee80211MgmtAdhoc,
SHA-256-0-20260506-22:59:09-26146,config,,,**.wlan[*].agent.typename,,
RSA-0-20260506-22:58:45-26117,runattr,,,configname,RSA,
RSA-0-20260506-22:58:45-26117,runattr,,,datetime,20260506-22:58:45,
RSA-0-20260506-22:58:45-26117,runattr,,,datetimef,20260506-225845,
RSA-0-20260506-22:58:45-26117,runattr,,,experiment,RSA,
RSA-0-20260506-22:58:45-26117,runattr,,,inifile,omnetpp.ini,
RSA-0-20260506-22:58:45-26117,runattr,,,iterationvars,,
